title,url,description,category,publish_time,image_url,is_new,scraped_at
BISHENG灵思 – 毕昇推出的开源通用AI Agent，基于AGL框架,https://ai-bot.cn/bisheng-linsight/,BISHENG灵思是毕昇推出的开源通用AI Agent，通过结合业务专家的知识和经验，帮助用户快速、高效地完成复杂任务。创新地提出了AGL（Agent指导语言）框架，将业...,AI工具,5小时前,https://ai-bot.cn/wp-content/uploads/2025/08/linsight-website-1.png,False,2025-08-14 20:17:09
nFactorial AI – AI在线学习平台，可与特定专家虚拟视频通话,https://ai-bot.cn/nfactorial-ai/,nFactorial AI 是创新的在线学习平台，基于 AI 技术让用户能与世界顶尖的思想家和专家进行虚拟的 1v1 视频通话，仿佛大师是他们的私人导师。用户能选择与 Pau...,AI工具,8小时前,https://ai-bot.cn/wp-content/uploads/2025/08/nFactorial-AI-webiste.png,False,2025-08-14 20:17:09
Skywork Deep Research Agent v2 – 昆仑万维推出的升级版深度研究智能体,https://ai-bot.cn/skywork-deep-research-agent-v2/,Skywork Deep Research Agent v2是昆仑万维推出的升级版深度研究智能体，作为天工超级智能体的核心引擎，具备多模态深度调研能力，首次整合多模态检索、理解...,AI工具,8小时前,https://ai-bot.cn/wp-content/uploads/2025/08/Skywork-Deep-Research-Agent-v2-website.png,False,2025-08-14 20:17:09
北京大学《从AI工具到“最佳拍档”V10》（PDF文件）,https://ai-bot.cn/ai-column-2025081401/,《从AI工具到“最佳拍档”V10》是北京大学AI肖睿团队编写的，系统介绍了如何将各类AI工具协同应用在实际场景。报告首先对11款主流AI Agent，Manus、Skywork、Ge...,AI专栏,9小时前,https://ai-bot.cn/wp-content/uploads/2025/08/未命名_20250729153740-2025-08-13T164207.843.png,False,2025-08-14 20:17:09
爱图表重磅升级 – AI秒生图表+自动写报告，新功能来了,https://ai-bot.cn/aitubiao-data/,爱图表（aitubiao.com）就是AI图表，是由镝数科技推出的一款创新的智能数据可视化和分析工具，专注于为用户提供便捷的图表生成、数据分析和报告撰写服务。202...,AI工具,9小时前,https://ai-bot.cn/wp-content/uploads/2025/08/aitubiao-data.png,False,2025-08-14 20:17:09
hunyuan-large-vision – 腾讯混元推出的多模态视觉理解模型,https://ai-bot.cn/hunyuan-large-vision/,hunyuan-large-vision 是腾讯推出的多模态理解模型，基于MoE架构，激活参数达52B，支持图像、视频和3D空间输入。模型在国际知名的大模型竞技场“LMArena Visio...,AI工具,10小时前,https://ai-bot.cn/wp-content/uploads/2025/08/hunyuan-large-vision-website.png,False,2025-08-14 20:17:09
花生AI – B站推出AI视频创作工具,https://ai-bot.cn/inno-video/,花生AI是B站推出的AI视频创作工具，帮助用户快速生成视频内容。用户只需提供文案或录制好的音频，最快3分钟即可生成完整视频。工具提供两种创作模式：智能匹...,AI工具,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/inno-video-website.png,False,2025-08-14 20:17:09
GemDesign – AI原型设计工具，自动补充交互断层,https://ai-bot.cn/gemdesign/,GemDesign是基于人工智能的高保真原型设计工具，帮助用户快速将想法转化为专业的设计界面和交互原型。通过文生界面和图生界面功能，可以通过文字描述或上传草...,AI工具,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/GemDesign-website.png,False,2025-08-14 20:17:09
Seele AI邀请码 – 如何获取Seele AI邀请码？附免费领取攻略,https://ai-bot.cn/ai-tutorials-2025081401/,Seele AI 是全球首个端到端AI 3D游戏生成工具。基于大模型技术，实现从文本输入到完整3D游戏的自动化生成，支持多模态交互。核心优势在于100%自主的AI引擎，...,AI教程,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/Seele-AI-website.png,False,2025-08-14 20:17:09
Floot – 无代码AI Web应用开发平台，提供全栈集成,https://ai-bot.cn/floot/,Floot 是面向创业者和非技术用户的无代码 Web 应用开发平台，通过人工智能技术帮助用户快速将想法转化为实际应用。用户只需通过聊天描述需求，Floot 的 AI 能...,AI工具,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/Floot-website.png,False,2025-08-14 20:17:09
