title,url,description,category,publish_time,image_url,is_new,scraped_at
DeepSeek-R1-Safe – 浙大联合华为推出的安全大模型,https://ai-bot.cn/deepseek-r1-safe/,DeepSeek-R1-Safe 是浙江大学网络空间安全学院和华为合作推出的基于DeepSeek衍生的安全大模型。模型基于华为昇腾芯片和 MindSpeedLLM 框架，通过构建安全语料...,AI工具,58分钟前,https://ai-bot.cn/wp-content/uploads/2025/09/DeepSeek-R1-Safe-website-1.png,False,2025-09-22 11:29:02
TrafficVLM – 高德推出的交通视觉语言模型,https://ai-bot.cn/trafficvlm/,TrafficVLM是高德导航推出的基于大模型技术的交通视觉语言模型，通过交通孪生还原能力，将海量实时交通数据转化为动态孪生视频流，构建出与现实世界同步的“数...,AI工具,1小时前,https://ai-bot.cn/wp-content/uploads/2025/09/TrafficVLM-website.png,False,2025-09-22 11:29:02
LSP（Language Self-Play） – Meta推出的强化学习方法,https://ai-bot.cn/lsp/,LSP（Language Self-Play）是Meta提出的一种强化学习方法，解决大型语言模型对大量高质量训练数据的依赖问题。LSP的核心思想是利用自我博弈的方式，让同一模...,AI工具,2小时前,https://ai-bot.cn/wp-content/uploads/2025/09/LSP-website.png,False,2025-09-22 11:29:02
豆包变装视频教程，只需3步免费用AI复刻,https://ai-bot.cn/ai-tutorials-2025092101/,最近在某音上看到一堆变装视频，全是万赞起步的爆款。我认真研究了一下，发现这个形式很适合用AI来“邪修起号”——只需基础剪辑，也不用露脸。我已经摸索出一条...,AI教程,2小时前,https://ai-bot.cn/wp-content/uploads/2025/09/doubao-video-1-1.png,False,2025-09-22 11:29:02
OneSearch – 快手推出的电商搜索端到端生成式框架,https://ai-bot.cn/onesearch/,OneSearch 是快手推出的电商搜索端到端生成式框架，优化传统电商搜索的级联式架构，提升搜索精准度和用户体验。三大创新点包括：关键词增强层次量化编码（KHQ...,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/09/OneSearch-website.png,False,2025-09-22 11:29:02
Kronos – 微软联合清华开源的金融K线图基础模型,https://ai-bot.cn/kronos/,Kronos 是首个面向金融市场的 K 线图基础模型，由清华大学与微软亚洲研究院联合开源。通过分析股票、加密货币等资产的 K 线数据，包括开盘价、最高价、最低价...,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/09/Kronos-website.png,False,2025-09-22 11:29:02
Codexia – 开源的AI编码桌面应用程序，多会话支持,https://ai-bot.cn/codexia/,Codexia是强大的跨平台AI编码桌面应用程序，支持为OpenAI Codex CLI提供图形界面和工具集，增强开发体验。,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/09/Codexia-website1.png,False,2025-09-22 11:29:02
Lego-Edit – 小米开源的图像编辑框架,https://ai-bot.cn/lego-edit/,Lego-Edit 是小米开源的基于指令的图像编辑框架，通过多模态大语言模型（MLLM）的泛化能力，实现对图像的灵活编辑。采用模型级工具包，包含多种高效训练的模...,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/09/Lego-Edit-website.png,False,2025-09-22 11:29:02
Sidekick – AI流程自动化平台，自然语言生成工作流,https://ai-bot.cn/sidekick/,Sidekick 是AI流程自动化平台，能帮助用户简化日常重复性工作。平台通过预设的自动化模板，快速实现如将 Gmail 邮件同步到 Google Sheets、从日历生成会议总...,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/09/Sidekick-website.png,False,2025-09-22 11:29:02
混元3D Studio – 腾讯推出的一站式3D创作平台,https://ai-bot.cn/hunyuan3d-studio/,混元3D Studio（Hunyuan3D Studio）是腾讯推出的一站式3D创作平台，基于AI技术加速3D内容创作全流程。平台支持从概念设计到动画制作的各个环节，包括高效的概...,AI工具,3天前,https://ai-bot.cn/wp-content/uploads/2025/09/hunyuan3D-Studio-website.png,False,2025-09-22 11:29:02
